#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG
#subID	 kpc/h	 kpc/h	 kpc/h	 km/s	 km/s	 km/s	 km/s	 mags
299194 59947.847656 8286.187500 73163.414062 -68.261520 -91.796860 -35.224171 8.433793 1.000000e+37
299195 59765.031250 8287.973633 73085.148438 49.758179 181.412125 126.848518 7.980637 1.000000e+37
299196 59881.402344 8431.155273 73343.789062 -443.732880 -69.427055 -154.510223 12.572112 1.000000e+37
299197 59803.687500 8548.218750 73361.375000 -170.965668 185.873993 -410.884338 13.822945 1.000000e+37
299198 59656.613281 8194.791016 73142.859375 139.421692 -73.434090 -46.608089 9.880031 1.000000e+37
299199 59760.445312 8602.801758 73582.656250 -72.815399 161.596466 61.903603 13.819515 1.000000e+37
299200 60297.496094 8725.246094 73655.742188 -27.878475 28.769184 -238.601074 11.163404 1.000000e+37
299201 59662.921875 8514.674805 73115.257812 123.656250 256.848724 236.102203 8.830735 1.000000e+37
299202 59895.640625 8307.692383 73258.796875 -332.542542 254.696732 -18.199482 9.729893 1.000000e+37
299203 59784.839844 8556.440430 73141.679688 379.565948 136.188034 216.968552 10.870019 1.000000e+37
299204 59457.894531 8306.750000 73395.156250 157.044250 283.548859 -83.190834 8.736317 1.000000e+37
299205 59455.996094 8323.731445 73334.335938 -21.501425 275.617218 144.963516 10.336689 1.000000e+37
