#subID	 x	 y	 z	 vx	 yv	 yz	 vmax	 B_MAG V_MAG
#subID	 kpc	 kpc	 kpc	 km/s	 km/s	 km/s	 km/s	 mags
367411 64360.171875 11918.319336 5392.385254 -6.150280 465.035553 43.139622 7.841619 1.000000e+37 1.000000e+37
367412 64306.246094 12414.574219 5277.091797 -86.375404 262.524384 166.056732 10.104059 1.000000e+37 1.000000e+37
367413 64183.402344 12154.860352 5142.802246 122.607582 321.159729 186.441971 10.020774 1.000000e+37 1.000000e+37
367414 64269.984375 12244.905273 5280.845703 -226.850189 307.234283 263.617584 9.035212 1.000000e+37 1.000000e+37
367415 64485.933594 12171.897461 5171.187988 -166.970261 239.175369 132.479446 11.172289 1.000000e+37 1.000000e+37
437402 63704.171875 11944.240234 5129.674316 156.262909 251.915909 112.692673 165.017914 -1.975066e+01 -2.031805e+01
437403 63767.582031 11880.375000 4957.857422 166.701721 114.420219 123.620270 94.721489 -1.840528e+01 -1.886006e+01
437404 63871.023438 11821.895508 4988.040527 77.274162 288.708923 3.640847 57.345165 -1.593417e+01 -1.643260e+01
437405 63528.152344 11867.215820 5170.128418 141.222687 391.958313 -13.071820 25.974361 1.000000e+37 1.000000e+37
437406 63850.347656 11791.449219 5069.285645 174.039948 330.874512 143.438538 28.747713 -9.561198e+00 -1.011478e+01
437407 63793.976562 11939.545898 5228.737793 88.079208 315.691040 106.869766 29.089087 -1.299048e+01 -1.365594e+01
437408 63866.128906 11776.116211 4932.568359 82.843544 327.855438 116.312675 24.545740 1.000000e+37 1.000000e+37
437409 63481.027344 11942.302734 5132.144043 217.140976 232.766296 36.381836 21.774204 1.000000e+37 1.000000e+37
437410 63646.488281 11930.191406 5140.808594 225.941299 348.732605 201.052460 17.577959 -1.374181e+01 -1.383279e+01
437411 63663.558594 11959.177734 5024.986328 90.594147 272.508881 271.600372 20.427301 1.000000e+37 1.000000e+37
437412 63622.937500 11924.772461 5307.317383 191.794601 216.837845 113.191811 20.390938 1.000000e+37 1.000000e+37
437413 63638.050781 11990.623047 5161.148926 131.999847 270.070374 288.239410 18.558149 1.000000e+37 1.000000e+37
437414 63752.660156 11921.128906 5221.175293 277.534088 165.666809 36.176613 21.156357 1.000000e+37 1.000000e+37
437415 63705.949219 11831.471680 5256.201172 137.867508 276.920685 182.211243 19.868177 1.000000e+37 1.000000e+37
437416 63869.550781 11710.644531 5059.565430 267.824188 285.655945 115.255730 14.447745 1.000000e+37 1.000000e+37
437417 63717.039062 11940.629883 5196.009277 342.534485 179.067734 4.196410 19.012016 1.000000e+37 1.000000e+37
