#FOFID pos_x pos_y pos_z vel_x vel_y vel_z
#integer kpc/h kpc/h kpc/h km/s km/s km/s 
276 22622.972656 14052.540039 18792.373047 -318.523590 -70.352951 84.858788
277 38728.425781 65366.085938 42132.636719 64.820801 566.230347 289.435883
278 66557.437500 11393.147461 31913.076172 89.649857 237.453537 85.416679
279 47722.339844 30794.466797 29773.203125 49.663822 146.486862 -81.350662
280 54733.535156 21772.015625 12808.233398 182.671768 -10.886591 71.019379
281 24150.570312 51256.039062 45086.761719 -214.310455 -152.810867 432.526154
282 19343.464844 58627.406250 68274.164062 -279.140320 -165.511749 82.551750
283 56153.796875 43670.132812 25871.035156 -121.996399 -11.186928 12.519809
284 68566.406250 62804.554688 54065.585938 1.804104 -466.997711 48.030312
285 9147.994141 33117.828125 3434.699951 -195.783203 -268.367004 -67.567955
286 30695.732422 67058.671875 52734.886719 26.726702 -254.002960 -126.605011
287 14921.101562 49206.730469 69843.781250 -205.468506 183.926666 -316.587708
288 58103.003906 46835.945312 58116.695312 122.087341 52.549881 58.446644
289 23840.392578 8277.138672 8342.332031 -364.203308 -162.572906 14.835427
290 35445.429688 66060.882812 49087.507812 147.061249 -109.766884 -129.772995
291 20016.595703 584.680420 12462.337891 -330.130585 169.777924 -223.684387
292 38206.933594 63830.921875 42058.628906 207.959152 361.753937 175.586166
293 66626.085938 65610.976562 40305.667969 -90.128723 -75.025543 -82.410355
294 70733.843750 73111.703125 47705.402344 -193.689667 -90.081062 -137.232361
295 56580.003906 66425.265625 23938.755859 -54.207928 222.132660 274.112518
296 48473.710938 6548.891602 45102.492188 10.360154 -194.915771 -203.114014
297 13675.664062 43742.097656 32203.984375 66.615669 -185.222046 42.087254
298 8976.069336 41504.257812 26799.228516 60.252468 -327.993256 314.917664
299 4663.587891 39360.683594 30880.421875 283.583221 4.250430 -123.557869
300 58210.980469 11354.816406 41424.718750 0.650562 -241.572464 -334.186188
301 29992.419922 63256.664062 2286.890381 -306.232147 207.530075 -166.386826
302 20937.662109 8115.011230 5349.345703 -15.596221 -200.824142 64.338966
303 31014.101562 40093.996094 39239.015625 -300.421082 1.599432 254.363159
304 28132.679688 23766.669922 41178.714844 -129.769867 79.869888 88.038795
305 65618.609375 15648.096680 30158.595703 228.684402 -90.524635 -243.114105
306 6631.599121 29940.357422 33872.015625 150.735901 -44.440449 -130.620651
307 64090.644531 49326.644531 7588.482422 107.727585 -105.300507 25.441385
308 32098.628906 9475.468750 35099.984375 -67.806854 -143.658600 104.454048
309 74717.468750 7010.637695 32213.357422 -31.734627 339.631134 -19.820656
310 73753.914062 24425.937500 16145.443359 583.964417 230.463074 446.787384
311 749.345032 30322.759766 10365.905273 34.250214 -120.201897 282.960999
312 61545.199219 15101.148438 47207.554688 -52.822540 -150.777771 -152.588684
313 8860.686523 70344.406250 7210.080566 293.392242 93.157440 -86.386421
314 13848.273438 50314.132812 69265.890625 -158.028824 196.935486 -302.961334
315 32133.677734 2714.542969 34803.675781 220.497177 -4.262179 121.112595
316 6728.192871 16893.228516 22042.066406 -271.795532 257.317108 200.682755
317 74157.617188 53616.132812 54518.246094 300.869324 37.765736 -8.606509
318 74733.921875 29564.078125 12532.832031 363.835022 -508.081390 251.083389
319 66183.070312 32758.542969 70346.046875 244.228592 2.359296 234.558426
320 49821.441406 68232.273438 43770.101562 -149.638306 309.905701 -151.018143
321 16915.189453 42009.226562 37577.164062 85.583298 39.386734 144.582413
322 19664.099609 34588.964844 3990.727539 -184.844452 -44.372375 -47.185928
323 50146.460938 62763.976562 31766.060547 -143.550735 116.318649 27.890211
324 68151.820312 27487.804688 20450.800781 374.935455 -266.435669 -68.413017
325 2927.979492 29549.957031 63435.500000 178.483246 173.920044 -4.908930
326 74994.812500 32903.972656 66188.304688 183.324661 73.635818 34.381393
327 1698.837402 21528.216797 24610.074219 -111.105591 -382.114990 -527.570374
328 69884.312500 21905.675781 70216.023438 129.921600 112.739517 129.512115
329 13643.774414 24517.878906 27878.185547 -140.214615 -82.396545 -163.427109
330 12818.094727 30818.705078 27966.353516 -101.058746 -75.143402 69.350616
331 11081.523438 28939.748047 26568.775391 -170.688446 -125.301567 33.752960
332 37335.996094 37938.582031 16851.738281 -90.751457 -3.152052 -20.582544
333 46890.875000 35976.929688 72507.687500 -250.481384 151.784256 -241.586777
334 13219.339844 7630.836426 19963.613281 -47.177784 68.788261 -28.852213
335 63962.769531 18922.605469 48944.089844 17.676956 -180.789673 -102.486923
336 2758.860596 34748.570312 71274.593750 106.240227 -41.659908 93.487389
337 23190.492188 38996.464844 44156.664062 371.771301 -26.287655 99.410034
338 21800.925781 23278.255859 3135.427979 -229.439850 19.055754 -50.597542
339 12184.469727 56392.191406 72263.289062 259.404968 -2.296611 -325.081512
340 24001.404297 8300.243164 74771.085938 80.644516 -361.767639 149.019485
341 61411.761719 2185.552734 39698.417969 -81.613350 -157.807800 -462.496155
342 38077.503906 67489.421875 67514.140625 -214.289413 215.787125 -54.253784
343 14667.302734 19445.753906 3877.236084 54.631092 82.230957 110.612778
344 42361.277344 2037.348755 73041.507812 -340.460907 -319.751526 -196.742706
345 43633.257812 36659.695312 56214.949219 -380.009155 31.571806 14.115232
346 43394.484375 74662.812500 36039.070312 -87.800117 -114.230751 321.943634
347 28476.669922 574.290466 68174.375000 157.113068 -11.877585 178.923599
348 72453.296875 19321.544922 26096.369141 207.629028 -423.803131 -531.885681
349 8238.247070 15030.741211 61116.242188 183.669724 192.536560 109.762314
350 35120.722656 20173.941406 16315.748047 -112.513367 -18.560925 7.722949
351 12651.098633 22667.726562 2438.720703 -41.563499 80.927589 75.067474
352 53941.652344 13689.726562 15542.962891 119.474144 43.150848 37.433426
353 23177.710938 51818.402344 45620.722656 -85.305138 -467.146576 309.905670
354 29310.417969 1613.931030 68968.414062 2.074383 -150.095123 276.241455
355 65869.062500 19812.914062 29016.978516 170.006332 -400.738922 -457.792603
356 24556.130859 52730.886719 12820.129883 -89.021164 22.876459 -61.833538
357 58068.738281 68887.156250 25865.156250 -200.142258 77.674454 370.729218
358 36817.640625 62472.175781 42069.089844 142.316254 303.109314 145.724121
359 67487.929688 54355.820312 54706.824219 291.033722 365.430481 70.092422
360 27320.984375 16040.475586 32286.109375 -308.638794 165.584030 22.229639
361 25633.929688 67952.039062 73616.382812 -450.647430 274.601166 -118.999214
362 27503.132812 73066.914062 66508.914062 44.710018 79.511803 152.207062
363 23383.177734 44199.941406 9928.078125 16.760006 -0.773753 -104.491791
